"","ID","iso3","alloc_key","cell5m","x","y","bean, common","cacao","cassava","chick pea","coconut","coffee arabica","coffee robusta","cowpea","groundnut","lentil","maize","pearl millet","pigeon pea","plantain bananas","potato","sesame seed","sorghum (med. altitude)","soyabean","sugar beet","sunflower","sweet potato","tea","tobacco","wheat, common"
"746",746,"KEN","10762628",4646627,38.9583333325,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"747",747,"KEN","10762629",4646628,39.0416666658,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"748",748,"KEN","10762630",4646629,39.1249999991,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"749",749,"KEN","10762631",4646630,39.2083333325,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"750",750,"KEN","10762632",4646631,39.2916666658,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"751",751,"KEN","10762633",4646632,39.3749999991,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"752",752,"KEN","10762634",4646633,39.4583333325,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"753",753,"KEN","10762635",4646634,39.5416666658,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"754",754,"KEN","10762636",4646635,39.6249999991,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"755",755,"KEN","10762637",4646636,39.7083333325,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"756",756,"KEN","10762638",4646637,39.7916666658,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"757",757,"KEN","10762639",4646638,39.8749999991,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"758",758,"KEN","10762640",4646639,39.9583333325,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"759",759,"KEN","10762641",4646640,40.0416666658,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"760",760,"KEN","10762642",4646641,40.1249999991,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"761",761,"KEN","10762644",4646643,40.2916666658,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"762",762,"KEN","10762645",4646644,40.3749999991,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"763",763,"KEN","10762646",4646645,40.4583333325,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"764",764,"KEN","10762647",4646646,40.5416666658,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"765",765,"KEN","10762648",4646647,40.6249999991,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"766",766,"KEN","10762649",4646648,40.7083333325,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"767",767,"KEN","10762650",4646649,40.7916666658,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"768",768,"KEN","10772570",4650889,34.1249999991,0.2916666663,1,0,0.351851850748062,0.892307698726654,0.25,0,0,1,0.622641503810883,1,1,0.770769238471985,1,0,1,1,0.832571446895599,0.8125,0,0.976923048496246,0.3359375,0,0.966666638851166,0.883116900920868
"769",769,"KEN","10772571",4650890,34.2083333325,0.2916666663,1,0,0.703703701496124,1,0.615384638309479,0.180555552244186,0.0238095242530107,1,0.920333385467529,1,1,0.752307772636414,1,0,1,1,0.816571354866028,1,0.586206912994385,1,0.609375,0,1,1
"770",770,"KEN","10772572",4650891,34.2916666658,0.2916666663,1,0.472222208976746,0.958333313465118,1,0.832402229309082,0.430555552244186,0.202380955219269,1,0.920333385467529,1,1,0.749538481235504,1,0,1,1,0.817428588867188,1,1,1,0.8125,0.380952388048172,1,1
"771",771,"KEN","10772573",4650892,34.3749999991,0.2916666663,1,0.722222208976746,0.925675690174103,1,0.804469287395477,0.555555582046509,0.214285716414452,1,0.932500064373016,1,1,0.765384674072266,1,0,1,1,0.831714332103729,1,1,1,0.796875,0.595238089561462,1,1
"772",772,"KEN","10772574",4650893,34.4583333325,0.2916666663,1,0.944444417953491,0.893018007278442,1,0.720670402050018,0.666666686534882,0.190476194024086,1,0.911166667938232,1,1,0.75,1,0,1,1,0.810285687446594,1,1,1,0.859375,0.72377622127533,1,1
"773",773,"KEN","10772575",4650894,34.5416666658,0.2916666663,1,0.962181806564331,0.870370388031006,1,0.788461565971375,0.763888895511627,0.130952388048172,1,0.89466667175293,1,1,0.730461478233337,1,0,1,1,0.797428548336029,1,0.896551728248596,1,0.90625,0.769230782985687,1,1
"774",774,"KEN","10772576",4650895,34.6249999991,0.2916666663,1,0.939272820949554,0.797297298908234,1,0.75,0.805555582046509,0.107142858207226,1,0.874000072479248,1,1,0.703125,1,0,1,1,0.782000005245209,1,0.75862067937851,1,0.921875,0.804195821285248,1,1
"775",775,"KEN","10772577",4650896,34.7083333325,0.2916666663,1,0.879636406898499,0.804054081439972,1,0.709500074386597,0.861111104488373,0.142857149243355,1,0.831333339214325,1,1,0.671538412570953,1,0,1,1,0.74193549156189,1,0.620689630508423,1,0.984375,0.8146852850914,1,0.934911251068115
